Most states have renewable portfolio standards and goals,
"Source: Database of State Incentives for Renewable Energy & EfficiencyÂ®, September 2020",
Has renewable portfolio standards,Has renewable portfolio goals,
"An interactive map showing that most states have renewable portfolio standards and goals",
HI, standards
NH, standards
ND, goals
NE, neither
IA, standards
VT, standards
ID, neither
ME, standards
WI, standards
CO, standards
MN, standards
UT, goals
TN, neither
IN, goals
KS, goals
AL, neither
MA, standards
MO, standards
SD, goals
AR, neither
FL, neither
VA, standards
TX, standards
MD, standards
MT, standards
OK, goals
OR, standards
SC, goals
WY, neither
CA, standards
GA, neither
KY, neither
RI, standards
AZ, standards
NC, standards
WA, standards
CT, standards
DE, standards
LA, neither
MS, neither
NY, standards
MI, standards
OH, standards
PA, standards
IL, standards
NV, standards
NJ, standards
WV, neither
DC, standards
NM, standards
AK, neither
