,vehclass,scenario_bnd,scenario_name,bnd_name,pct_chg_lfcs,pct_chg_lces
12,SUV,life_BEV_lwr,BEV Life,-10%,-4.990816188279771,-4.333445405504581
13,Sedan,life_BEV_lwr,BEV Life,-10%,-4.07817534104107,-3.8507268504098553
14,Truck,life_BEV_lwr,BEV Life,-10%,-4.394090402922982,-4.1023891146994655
15,SUV,life_BEV_upr,BEV Life,+10%,5.005693609002998,3.6816000982757426
16,Sedan,life_BEV_upr,BEV Life,+10%,4.163411541841651,3.2748335413595315
17,Truck,life_BEV_upr,BEV Life,+10%,4.4115298060846015,3.4847273743582785
18,SUV,life_ICEV_lwr,ICEV Life,-10%,4.839257462064752,1.676816566805687
19,Sedan,life_ICEV_lwr,ICEV Life,-10%,4.100650893788382,1.615026518377942
20,Truck,life_ICEV_lwr,ICEV Life,-10%,4.6607719402488454,1.5438285281305295
21,SUV,life_ICEV_upr,ICEV Life,+10%,-5.079724539205972,-1.371944878191494
22,Sedan,life_ICEV_upr,ICEV Life,+10%,-4.467090921417098,-1.321385333218308
23,Truck,life_ICEV_upr,ICEV Life,+10%,-4.939773568217778,-1.2631287196538061
24,SUV,FC_BEV_lwr,BEV FC,-10%,13.67784781256435,6.042297355197091
25,Sedan,FC_BEV_lwr,BEV FC,-10%,10.881803321427926,4.915878766031857
26,Truck,FC_BEV_lwr,BEV FC,-10%,11.62918610909883,5.642091581151868
27,SUV,FC_BEV_upr,BEV FC,+10%,-13.677847215587855,-6.0422970612158124
28,Sedan,FC_BEV_upr,BEV FC,+10%,-10.881802826912754,-4.9158784125358945
29,Truck,FC_BEV_upr,BEV FC,+10%,-11.629186247637483,-5.64209166609138
30,SUV,FC_ICEV_lwr,ICEV FC,-10%,-26.893957572261257,-17.20700981159162
31,Sedan,FC_ICEV_lwr,ICEV FC,-10%,-24.4977698180663,-15.944802663887053
32,Truck,FC_ICEV_lwr,ICEV FC,-10%,-23.86470563412591,-16.728129490994185
33,SUV,FC_ICEV_upr,ICEV FC,+10%,26.893957775941825,17.207009921385634
34,Sedan,FC_ICEV_upr,ICEV FC,+10%,24.497771986584457,15.944803938096541
35,Truck,FC_ICEV_upr,ICEV FC,+10%,23.864706394493876,16.728129866694307
36,SUV,CE_lwr,BEV Charg. Eff.,-10%,-15.197608371112558,-6.713663554468684
37,Sedan,CE_lwr,BEV Charg. Eff.,-10%,-12.090892221959596,-5.462087264566436
38,Truck,CE_lwr,BEV Charg. Eff.,-10%,-12.921317674250037,-6.26899053859374
39,SUV,CE_upr,BEV Charg. Eff.,+10%,12.43440684909213,5.492997453656215
40,Sedan,CE_upr,BEV Charg. Eff.,+10%,9.892548181603317,4.4689804891907245
41,Truck,CE_upr,BEV Charg. Eff.,+10%,10.571987188022787,5.1291740770312595
42,SUV,lcoc_lwr,LCOC,-10%,16.89395764897361,0.0
43,Sedan,lcoc_lwr,LCOC,-10%,14.497770470946096,0.0
44,Truck,lcoc_lwr,LCOC,-10%,13.864705916480494,0.0
45,SUV,lcoc_upr,LCOC,+10%,-16.893957648973633,0.0
46,Sedan,lcoc_upr,LCOC,+10%,-14.497770470946126,0.0
47,Truck,lcoc_upr,LCOC,+10%,-13.86470591648051,0.0
48,SUV,gas_lwr,Gas Price,-10%,-26.89395705998996,0.0
49,Sedan,gas_lwr,Gas Price,-10%,-24.4977699108012,0.0
50,Truck,gas_lwr,Gas Price,-10%,-23.864705389317436,0.0
51,SUV,gas_upr,Gas Price,+10%,26.893957969525257,0.0
52,Sedan,gas_upr,Gas Price,+10%,24.497770781123155,0.0
53,Truck,gas_upr,Gas Price,+10%,23.864706204396448,0.0
54,SUV,elec_proj_lwr,Elec. Price Proj.,-10%,16.893956765892142,0.0
55,Sedan,elec_proj_lwr,Elec. Price Proj.,-10%,14.497769747046748,0.0
56,Truck,elec_proj_lwr,Elec. Price Proj.,-10%,13.864705254522477,0.0
57,SUV,elec_proj_upr,Elec. Price Proj.,+10%,-16.893960978649,0.0
58,Sedan,elec_proj_upr,Elec. Price Proj.,+10%,-14.49777345872475,0.0
59,Truck,elec_proj_upr,Elec. Price Proj.,+10%,-13.864708572615891,0.0
60,SUV,gas_proj_lwr,Gas Price Proj.,-10%,-26.893956619975217,0.0
61,Sedan,gas_proj_lwr,Gas Price Proj.,-10%,-24.497769362483673,0.0
62,Truck,gas_proj_lwr,Gas Price Proj.,-10%,-23.86470532043262,0.0
63,SUV,gas_proj_upr,Gas Price Proj.,+10%,26.893951831721225,0.0
64,Sedan,gas_proj_upr,Gas Price Proj.,+10%,24.497765227288706,0.0
65,Truck,gas_proj_upr,Gas Price Proj.,+10%,23.864700669456422,0.0
66,SUV,dr_lwr,Disc. Rate,-10%,2.69502635034435,0.0
67,Sedan,dr_lwr,Disc. Rate,-10%,2.510563494909142,0.0
68,Truck,dr_lwr,Disc. Rate,-10%,2.6679146022070928,0.0
69,SUV,dr_upr,Disc. Rate,+10%,-2.58815297357843,0.0
70,Sedan,dr_upr,Disc. Rate,+10%,-2.4159428046700704,0.0
71,Truck,dr_upr,Disc. Rate,+10%,-2.559346929095428,0.0
72,SUV,ef_BEV_lwr,Elec. EF,-10%,0.0,6.042297058776699
73,Sedan,ef_BEV_lwr,Elec. EF,-10%,0.0,4.915878416532848
74,Truck,ef_BEV_lwr,Elec. EF,-10%,0.0,5.642091358335843
75,SUV,ef_BEV_upr,Elec. EF,+10%,0.0,-6.0422972563170845
76,Sedan,ef_BEV_upr,Elec. EF,+10%,0.0,-4.915878610632129
77,Truck,ef_BEV_upr,Elec. EF,+10%,0.0,-5.642091537046087
78,SUV,ef_ICEV_lwr,Gas EF,-10%,0.0,-17.207009830130225
79,Sedan,ef_ICEV_lwr,Gas EF,-10%,0.0,-15.94480312647771
80,Truck,ef_ICEV_lwr,Gas EF,-10%,0.0,-16.728129652040064
81,SUV,ef_ICEV_upr,Gas EF,+10%,0.0,17.207009830130215
82,Sedan,ef_ICEV_upr,Gas EF,+10%,0.0,15.94480312647771
83,Truck,ef_ICEV_upr,Gas EF,+10%,0.0,16.728129652040064
